Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Genesee County, Michigan",407875,27295,76326,0.19,Genesee County,Michigan
"Gladwin County, Michigan",25279,25657,4215,0.17,Gladwin County,Michigan
"Gogebic County, Michigan",15061,25555,2352,0.16,Gogebic County,Michigan
"Grand Traverse County, Michigan",92181,35405,8703,0.09,Grand Traverse County,Michigan
"Gratiot County, Michigan",40916,23616,5890,0.14,Gratiot County,Michigan
"Hillsdale County, Michigan",45757,25621,7137,0.16,Hillsdale County,Michigan
"Houghton County, Michigan",36070,23421,6742,0.19,Houghton County,Michigan
"Huron County, Michigan",31349,27852,4030,0.13,Huron County,Michigan
"Ingham County, Michigan",290587,29380,53303,0.18,Ingham County,Michigan
"Ionia County, Michigan",64300,24864,7129,0.11,Ionia County,Michigan
"Iosco County, Michigan",25197,25264,3774,0.15,Iosco County,Michigan
"Iron County, Michigan",11152,25944,1420,0.13,Iron County,Michigan
"Isabella County, Michigan",70688,23888,16707,0.24,Isabella County,Michigan
"Jackson County, Michigan",158636,28364,20509,0.13,Jackson County,Michigan
"Kalamazoo County, Michigan",262745,31975,38054,0.14,Kalamazoo County,Michigan
"Kalkaska County, Michigan",17585,24358,2905,0.17,Kalkaska County,Michigan
"Kent County, Michigan",648121,32524,74720,0.12,Kent County,Michigan
"Keweenaw County, Michigan",2111,34608,223,0.11,Keweenaw County,Michigan
"Lake County, Michigan",11852,20461,2416,0.2,Lake County,Michigan
"Lapeer County, Michigan",88038,30344,8691,0.1,Lapeer County,Michigan
"Leelanau County, Michigan",21652,39073,1310,0.06,Leelanau County,Michigan
"Lenawee County, Michigan",98381,27850,10608,0.11,Lenawee County,Michigan
"Livingston County, Michigan",189754,40351,9808,0.05,Livingston County,Michigan
"Luce County, Michigan",6338,22350,896,0.14,Luce County,Michigan
"Mackinac County, Michigan",10780,28966,1744,0.16,Mackinac County,Michigan
"Macomb County, Michigan",870325,32238,90984,0.1,Macomb County,Michigan
"Manistee County, Michigan",24457,26668,2652,0.11,Manistee County,Michigan
"Marquette County, Michigan",66686,27979,9833,0.15,Marquette County,Michigan
"Mason County, Michigan",28954,29549,4294,0.15,Mason County,Michigan
"Mecosta County, Michigan",43251,23431,8541,0.2,Mecosta County,Michigan
"Menominee County, Michigan",23074,27942,2889,0.13,Menominee County,Michigan
"Midland County, Michigan",83355,36142,8557,0.1,Midland County,Michigan
"Missaukee County, Michigan",15028,23838,2111,0.14,Missaukee County,Michigan
"Monroe County, Michigan",149727,31481,16493,0.11,Monroe County,Michigan
"Montcalm County, Michigan",63413,24200,8706,0.14,Montcalm County,Michigan
"Montmorency County, Michigan",9265,23958,1507,0.16,Montmorency County,Michigan
"Muskegon County, Michigan",173297,25435,25719,0.15,Muskegon County,Michigan
"Newaygo County, Michigan",48366,25451,7928,0.16,Newaygo County,Michigan
"Oakland County, Michigan",1253185,44629,101559,0.08,Oakland County,Michigan
"Oceana County, Michigan",26416,24345,3916,0.15,Oceana County,Michigan
"Ogemaw County, Michigan",20898,23787,3491,0.17,Ogemaw County,Michigan
"Ontonagon County, Michigan",5877,25022,793,0.13,Ontonagon County,Michigan
"Osceola County, Michigan",23290,22692,4102,0.18,Osceola County,Michigan
"Oscoda County, Michigan",8248,24889,1321,0.16,Oscoda County,Michigan
"Otsego County, Michigan",24490,27234,3302,0.13,Otsego County,Michigan
"Ottawa County, Michigan",286558,31872,23569,0.08,Ottawa County,Michigan
"Presque Isle County, Michigan",12714,28103,1642,0.13,Presque Isle County,Michigan
"Roscommon County, Michigan",23851,25807,3924,0.16,Roscommon County,Michigan
"Saginaw County, Michigan",191821,28030,33351,0.17,Saginaw County,Michigan
"St. Clair County, Michigan",159247,30703,19954,0.13,St. Clair County,Michigan
"St. Joseph County, Michigan",60836,26248,8884,0.15,St. Joseph County,Michigan
"Sanilac County, Michigan",41295,25871,6150,0.15,Sanilac County,Michigan
"Schoolcraft County, Michigan",8048,24647,1321,0.16,Schoolcraft County,Michigan
"Shiawassee County, Michigan",68340,28437,6906,0.1,Shiawassee County,Michigan
"Tuscola County, Michigan",52939,25996,7380,0.14,Tuscola County,Michigan
"Van Buren County, Michigan",75358,28049,11060,0.15,Van Buren County,Michigan
"Washtenaw County, Michigan",367000,41399,48500,0.13,Washtenaw County,Michigan
"Wayne County, Michigan",1757299,27282,387362,0.22,Wayne County,Michigan
"Wexford County, Michigan",33256,25149,4665,0.14,Wexford County,Michigan
"Aitkin County, Minnesota",15834,29275,1896,0.12,Aitkin County,Minnesota
"Anoka County, Minnesota",350253,36978,20427,0.06,Anoka County,Minnesota
"Becker County, Minnesota",34011,31729,3678,0.11,Becker County,Minnesota
"Beltrami County, Minnesota",46403,25418,8306,0.18,Beltrami County,Minnesota
"Benton County, Minnesota",40129,29831,4071,0.1,Benton County,Minnesota
"Big Stone County, Minnesota",4996,29459,491,0.1,Big Stone County,Minnesota
"Blue Earth County, Minnesota",66795,29677,11148,0.17,Blue Earth County,Minnesota
"Brown County, Minnesota",25163,31237,1670,0.07,Brown County,Minnesota
"Carlton County, Minnesota",35633,29440,3851,0.11,Carlton County,Minnesota
"Carver County, Minnesota",101949,47221,4126,0.04,Carver County,Minnesota
"Cass County, Minnesota",29268,30326,3909,0.13,Cass County,Minnesota
"Chippewa County, Minnesota",11953,30772,1095,0.09,Chippewa County,Minnesota
"Chisago County, Minnesota",55315,35021,3210,0.06,Chisago County,Minnesota
"Clay County, Minnesota",63446,30768,7329,0.12,Clay County,Minnesota
"Clearwater County, Minnesota",8821,27178,1260,0.14,Clearwater County,Minnesota
"Cook County, Minnesota",5376,33194,670,0.12,Cook County,Minnesota
"Cottonwood County, Minnesota",11299,27459,1214,0.11,Cottonwood County,Minnesota
"Crow Wing County, Minnesota",64217,32368,6810,0.11,Crow Wing County,Minnesota
"Dakota County, Minnesota",421453,41552,25333,0.06,Dakota County,Minnesota
"Dodge County, Minnesota",20669,34399,1053,0.05,Dodge County,Minnesota
"Douglas County, Minnesota",37513,36535,2814,0.08,Douglas County,Minnesota
"Faribault County, Minnesota",13801,29991,1543,0.11,Faribault County,Minnesota
"Fillmore County, Minnesota",20949,30392,2201,0.11,Fillmore County,Minnesota
"Freeborn County, Minnesota",30463,29316,3295,0.11,Freeborn County,Minnesota
"Goodhue County, Minnesota",46246,34803,4230,0.09,Goodhue County,Minnesota
"Grant County, Minnesota",5935,32871,566,0.1,Grant County,Minnesota
"Hennepin County, Minnesota",1245837,45768,127872,0.1,Hennepin County,Minnesota
"Houston County, Minnesota",18648,33032,1451,0.08,Houston County,Minnesota
"Hubbard County, Minnesota",21019,29896,2452,0.12,Hubbard County,Minnesota
"Isanti County, Minnesota",39430,34054,2850,0.07,Isanti County,Minnesota
"Itasca County, Minnesota",45141,30286,5376,0.12,Itasca County,Minnesota
"Jackson County, Minnesota",9954,34325,768,0.08,Jackson County,Minnesota
"Kanabec County, Minnesota",16089,28427,1578,0.1,Kanabec County,Minnesota
"Kandiyohi County, Minnesota",42841,31039,4409,0.1,Kandiyohi County,Minnesota
"Kittson County, Minnesota",4311,30539,466,0.11,Kittson County,Minnesota
"Koochiching County, Minnesota",12515,29834,1665,0.13,Koochiching County,Minnesota
"Lac qui Parle County, Minnesota",6719,32437,547,0.08,Lac qui Parle County,Minnesota
"Lake County, Minnesota",10560,34207,902,0.09,Lake County,Minnesota
"Lake of the Woods County, Minnesota",3771,25640,399,0.11,Lake of the Woods County,Minnesota
"Le Sueur County, Minnesota",28242,33311,2389,0.08,Le Sueur County,Minnesota
"Lincoln County, Minnesota",5677,30253,598,0.11,Lincoln County,Minnesota
"Lyon County, Minnesota",25758,29634,3473,0.13,Lyon County,Minnesota
"McLeod County, Minnesota",35832,32465,3018,0.08,McLeod County,Minnesota
"Mahnomen County, Minnesota",5501,21279,1254,0.23,Mahnomen County,Minnesota
"Marshall County, Minnesota",9372,30746,637,0.07,Marshall County,Minnesota
"Martin County, Minnesota",19852,31066,2685,0.14,Martin County,Minnesota
"Meeker County, Minnesota",23105,32368,1524,0.07,Meeker County,Minnesota
"Mille Lacs County, Minnesota",25865,27758,3127,0.12,Mille Lacs County,Minnesota
"Morrison County, Minnesota",33064,29680,3317,0.1,Morrison County,Minnesota
"Mower County, Minnesota",39807,29720,5277,0.13,Mower County,Minnesota
"Murray County, Minnesota",8296,31874,580,0.07,Murray County,Minnesota
"Nicollet County, Minnesota",33954,33031,3117,0.09,Nicollet County,Minnesota
"Nobles County, Minnesota",21734,25939,2889,0.13,Nobles County,Minnesota
"Norman County, Minnesota",6520,30422,562,0.09,Norman County,Minnesota
"Olmsted County, Minnesota",154809,41066,12864,0.08,Olmsted County,Minnesota
"Otter Tail County, Minnesota",58195,32059,5328,0.09,Otter Tail County,Minnesota
"Pennington County, Minnesota",14183,31159,1535,0.11,Pennington County,Minnesota
"Pine County, Minnesota",29223,26407,3027,0.1,Pine County,Minnesota
"Pipestone County, Minnesota",9191,30540,1056,0.11,Pipestone County,Minnesota
"Polk County, Minnesota",31521,30078,3579,0.11,Polk County,Minnesota
"Pope County, Minnesota",11048,34166,779,0.07,Pope County,Minnesota
"Ramsey County, Minnesota",544442,35013,74112,0.14,Ramsey County,Minnesota
"Red Lake County, Minnesota",4015,30037,416,0.1,Red Lake County,Minnesota
"Redwood County, Minnesota",15261,28611,1508,0.1,Redwood County,Minnesota
"Renville County, Minnesota",14652,31253,1420,0.1,Renville County,Minnesota
"Rice County, Minnesota",66185,31221,5301,0.08,Rice County,Minnesota
"Rock County, Minnesota",9402,31345,824,0.09,Rock County,Minnesota
"Roseau County, Minnesota",15361,30193,1219,0.08,Roseau County,Minnesota
"St. Louis County, Minnesota",199759,31537,26991,0.14,St. Louis County,Minnesota
"Scott County, Minnesota",145275,42155,7896,0.05,Scott County,Minnesota
"Sherburne County, Minnesota",94463,35439,5912,0.06,Sherburne County,Minnesota
"Sibley County, Minnesota",14892,32016,1170,0.08,Sibley County,Minnesota
"Stearns County, Minnesota",158452,30994,19552,0.12,Stearns County,Minnesota
"Steele County, Minnesota",36683,32477,3236,0.09,Steele County,Minnesota
"Stevens County, Minnesota",9789,32542,1178,0.12,Stevens County,Minnesota
"Swift County, Minnesota",9359,31765,1155,0.12,Swift County,Minnesota
"Todd County, Minnesota",24494,26678,2871,0.12,Todd County,Minnesota
"Traverse County, Minnesota",3311,32548,319,0.1,Traverse County,Minnesota
"Wabasha County, Minnesota",21537,34442,1651,0.08,Wabasha County,Minnesota
"Wadena County, Minnesota",13654,24214,1907,0.14,Wadena County,Minnesota
"Waseca County, Minnesota",18740,29929,1718,0.09,Waseca County,Minnesota
"Washington County, Minnesota",255938,45822,10822,0.04,Washington County,Minnesota
"Watonwan County, Minnesota",10972,28341,1451,0.13,Watonwan County,Minnesota
"Wilkin County, Minnesota",6291,34543,564,0.09,Wilkin County,Minnesota
"Winona County, Minnesota",50725,30013,6074,0.12,Winona County,Minnesota
"Wright County, Minnesota",134438,36260,6122,0.05,Wright County,Minnesota
"Yellow Medicine County, Minnesota",9814,29908,1130,0.12,Yellow Medicine County,Minnesota
"Adams County, Mississippi",31266,18386,9052,0.29,Adams County,Mississippi
"Alcorn County, Mississippi",37090,23909,5440,0.15,Alcorn County,Mississippi
"Amite County, Mississippi",12412,21568,3281,0.26,Amite County,Mississippi
"Attala County, Mississippi",18437,21276,4834,0.26,Attala County,Mississippi
"Benton County, Mississippi",8232,20643,1652,0.2,Benton County,Mississippi
"Bolivar County, Mississippi",31848,18843,10593,0.33,Bolivar County,Mississippi
"Calhoun County, Mississippi",14499,19229,3066,0.21,Calhoun County,Mississippi
"Carroll County, Mississippi",10070,22385,1676,0.17,Carroll County,Mississippi
"Chickasaw County, Mississippi",17193,19926,3441,0.2,Chickasaw County,Mississippi
"Choctaw County, Mississippi",8277,22257,1600,0.19,Choctaw County,Mississippi
"Claiborne County, Mississippi",9089,14320,3419,0.38,Claiborne County,Mississippi
"Clarke County, Mississippi",15770,23988,2997,0.19,Clarke County,Mississippi
"Clay County, Mississippi",19640,20599,4941,0.25,Clay County,Mississippi
"Coahoma County, Mississippi",23255,18985,7882,0.34,Coahoma County,Mississippi
"Copiah County, Mississippi",28501,20093,6611,0.23,Copiah County,Mississippi
"Covington County, Mississippi",18978,19180,4515,0.24,Covington County,Mississippi
"DeSoto County, Mississippi",178975,30195,16261,0.09,DeSoto County,Mississippi
"Forrest County, Mississippi",75224,22534,18604,0.25,Forrest County,Mississippi
"Franklin County, Mississippi",7733,23067,1153,0.15,Franklin County,Mississippi
"George County, Mississippi",23917,22732,4018,0.17,George County,Mississippi
"Greene County, Mississippi",13645,16006,1801,0.13,Greene County,Mississippi
"Grenada County, Mississippi",21088,23135,4362,0.21,Grenada County,Mississippi
"Hancock County, Mississippi",46961,27462,8619,0.18,Hancock County,Mississippi
"Harrison County, Mississippi",204502,25415,39981,0.2,Harrison County,Mississippi
"Hinds County, Mississippi",238797,23734,48955,0.21,Hinds County,Mississippi
"Holmes County, Mississippi",17737,15291,7202,0.41,Holmes County,Mississippi
"Humphreys County, Mississippi",8389,18513,3020,0.36,Humphreys County,Mississippi
"Issaquena County, Mississippi",1361,16388,383,0.28,Issaquena County,Mississippi
"Itawamba County, Mississippi",23462,22806,3021,0.13,Itawamba County,Mississippi
"Jackson County, Mississippi",142376,27141,22794,0.16,Jackson County,Mississippi
"Jasper County, Mississippi",16505,22523,3661,0.22,Jasper County,Mississippi
"Jefferson County, Mississippi",7225,14659,2530,0.35,Jefferson County,Mississippi
"Jefferson Davis County, Mississippi",11339,20638,2781,0.25,Jefferson Davis County,Mississippi
"Jones County, Mississippi",68352,23163,14483,0.21,Jones County,Mississippi
"Kemper County, Mississippi",9943,16995,2579,0.26,Kemper County,Mississippi
"Lafayette County, Mississippi",53590,27765,10788,0.2,Lafayette County,Mississippi
"Lamar County, Mississippi",61969,30062,11217,0.18,Lamar County,Mississippi
"Lauderdale County, Mississippi",76279,24698,15181,0.2,Lauderdale County,Mississippi
"Lawrence County, Mississippi",12633,22980,2352,0.19,Lawrence County,Mississippi
"Leake County, Mississippi",22792,19893,5824,0.26,Leake County,Mississippi
"Lee County, Mississippi",85072,26369,12254,0.14,Lee County,Mississippi
"Leflore County, Mississippi",29222,18419,10260,0.35,Leflore County,Mississippi
"Lincoln County, Mississippi",34320,23541,7094,0.21,Lincoln County,Mississippi
"Lowndes County, Mississippi",59150,26438,11722,0.2,Lowndes County,Mississippi
"Madison County, Mississippi",104562,38901,9883,0.09,Madison County,Mississippi
"Marion County, Mississippi",24990,19545,6193,0.25,Marion County,Mississippi
"Marshall County, Mississippi",35599,21853,6275,0.18,Marshall County,Mississippi
"Monroe County, Mississippi",35673,23844,6125,0.17,Monroe County,Mississippi
"Montgomery County, Mississippi",10068,24054,2686,0.27,Montgomery County,Mississippi
"Neshoba County, Mississippi",29332,19540,7388,0.25,Neshoba County,Mississippi
"Newton County, Mississippi",21360,20787,5305,0.25,Newton County,Mississippi
"Noxubee County, Mississippi",10700,18525,3406,0.32,Noxubee County,Mississippi
"Oktibbeha County, Mississippi",49512,22512,13499,0.27,Oktibbeha County,Mississippi
"Panola County, Mississippi",34190,19892,6877,0.2,Panola County,Mississippi
"Pearl River County, Mississippi",55219,23920,9188,0.17,Pearl River County,Mississippi
"Perry County, Mississippi",12006,23166,2254,0.19,Perry County,Mississippi
"Pike County, Mississippi",39532,17621,12637,0.32,Pike County,Mississippi
"Pontotoc County, Mississippi",31618,21191,5055,0.16,Pontotoc County,Mississippi
"Prentiss County, Mississippi",25255,19693,5275,0.21,Prentiss County,Mississippi
"Quitman County, Mississippi",7187,15026,2497,0.35,Quitman County,Mississippi
"Rankin County, Mississippi",152677,30835,12245,0.08,Rankin County,Mississippi
"Scott County, Mississippi",28332,22203,7141,0.25,Scott County,Mississippi
"Sharkey County, Mississippi",4404,19958,1178,0.27,Sharkey County,Mississippi
"Simpson County, Mississippi",26888,23520,5098,0.19,Simpson County,Mississippi
"Smith County, Mississippi",16009,23698,3002,0.19,Smith County,Mississippi
"Stone County, Mississippi",18276,23820,3466,0.19,Stone County,Mississippi
"Sunflower County, Mississippi",26168,15646,6937,0.27,Sunflower County,Mississippi
"Tallahatchie County, Mississippi",14158,16742,3713,0.26,Tallahatchie County,Mississippi
"Tate County, Mississippi",28404,23340,4775,0.17,Tate County,Mississippi
"Tippah County, Mississippi",22018,19501,4321,0.2,Tippah County,Mississippi
"Tishomingo County, Mississippi",19441,20390,3787,0.19,Tishomingo County,Mississippi
"Tunica County, Mississippi",9988,20579,2322,0.23,Tunica County,Mississippi
"Union County, Mississippi",28507,21705,4255,0.15,Union County,Mississippi
"Walthall County, Mississippi",14477,21123,3431,0.24,Walthall County,Mississippi
"Warren County, Mississippi",46519,25661,9487,0.2,Warren County,Mississippi
"Washington County, Mississippi",46057,20174,15399,0.33,Washington County,Mississippi
"Wayne County, Mississippi",20373,23668,4136,0.2,Wayne County,Mississippi
"Webster County, Mississippi",9768,22011,2136,0.22,Webster County,Mississippi
"Wilkinson County, Mississippi",8875,15475,2673,0.3,Wilkinson County,Mississippi
"Winston County, Mississippi",18229,25263,4104,0.23,Winston County,Mississippi
"Yalobusha County, Mississippi",12367,20690,2234,0.18,Yalobusha County,Mississippi
"Yazoo County, Mississippi",28565,19972,7503,0.26,Yazoo County,Mississippi
"Adair County, Missouri",25369,22847,5421,0.21,Adair County,Missouri
"Andrew County, Missouri",17503,29338,1362,0.08,Andrew County,Missouri
"Atchison County, Missouri",5229,31248,620,0.12,Atchison County,Missouri
"Audrain County, Missouri",25644,23024,3540,0.14,Audrain County,Missouri
"Barry County, Missouri",35530,25068,7370,0.21,Barry County,Missouri
